Algorithm,Scaling,Number_of_Features,aupr_mean
GB,MinMax,186,96.324
GB,MinMax,187,96.622
GB,MinMax,188,96.356
GB,Standard,1,91.86
GB,Standard,2,92.71000000000001
GB,Standard,3,93.072
GB,Standard,4,92.93199999999999
GB,Standard,5,93.62
GB,Standard,6,93.422
GB,Standard,7,93.72200000000001
GB,Standard,8,93.37
GB,Standard,9,93.522
GB,Standard,10,93.886
GB,Standard,11,93.69
GB,Standard,12,94.17
GB,Standard,13,94.32000000000001
GB,Standard,14,95.216
GB,Standard,15,94.97
GB,Standard,16,95.178
GB,Standard,17,95.308
GB,Standard,18,95.76599999999999
GB,Standard,19,94.918
GB,Standard,20,95.144
GB,Standard,21,95.50800000000001
GB,Standard,22,95.162
GB,Standard,23,94.75
GB,Standard,24,94.41
GB,Standard,25,94.362
GB,Standard,26,94.764
GB,Standard,27,94.3
GB,Standard,28,94.626
GB,Standard,29,94.66799999999999
GB,Standard,30,94.05799999999999
GB,Standard,31,94.804
GB,Standard,32,94.784
GB,Standard,33,94.874
GB,Standard,34,95.42999999999999
GB,Standard,35,95.41
GB,Standard,36,95.37
GB,Standard,37,96.08
GB,Standard,38,95.342
GB,Standard,39,95.788
GB,Standard,40,96.04400000000001
GB,Standard,41,95.586
GB,Standard,42,96.036
GB,Standard,43,95.788
GB,Standard,44,95.75399999999999
GB,Standard,45,95.77799999999999
GB,Standard,46,96.286
GB,Standard,47,96.30199999999999
GB,Standard,48,95.94000000000001
GB,Standard,49,95.988
GB,Standard,50,96.05199999999999
GB,Standard,51,96.154
GB,Standard,52,96.404
GB,Standard,53,96.104
GB,Standard,54,95.862
GB,Standard,55,95.99199999999999
GB,Standard,56,96.436
GB,Standard,57,96.372
GB,Standard,58,96.336
GB,Standard,59,96.14399999999999
GB,Standard,60,96.50399999999999
GB,Standard,61,96.03
GB,Standard,62,95.912
GB,Standard,63,96.03200000000001
GB,Standard,64,95.878
GB,Standard,65,95.902
GB,Standard,66,95.806
GB,Standard,67,96.03999999999999
GB,Standard,68,95.836
GB,Standard,69,96.312
GB,Standard,70,95.90599999999999
GB,Standard,71,95.856
GB,Standard,72,95.74
GB,Standard,73,96.25399999999999
GB,Standard,74,96.142
GB,Standard,75,95.642
GB,Standard,76,96.014
GB,Standard,77,96.428
GB,Standard,78,95.918
GB,Standard,79,95.772
GB,Standard,80,95.806
GB,Standard,81,95.914
GB,Standard,82,95.826
GB,Standard,83,95.97999999999999
GB,Standard,84,95.848
GB,Standard,85,95.53200000000001
GB,Standard,86,95.904
GB,Standard,87,96.038
GB,Standard,88,95.994
GB,Standard,89,95.974
GB,Standard,90,96.24
GB,Standard,91,96.54400000000001
GB,Standard,92,96.382
GB,Standard,93,96.42
GB,Standard,94,96.40599999999999
GB,Standard,95,96.574
GB,Standard,96,96.204
GB,Standard,97,96.21000000000001
GB,Standard,98,96.336
GB,Standard,99,96.098
GB,Standard,100,96.284
GB,Standard,101,95.902
GB,Standard,102,96.426
GB,Standard,103,95.922
GB,Standard,104,96.426
GB,Standard,105,96.486
GB,Standard,106,95.988
GB,Standard,107,96.816
GB,Standard,108,96.73400000000001
GB,Standard,109,96.554
GB,Standard,110,96.176
GB,Standard,111,96.216
GB,Standard,112,96.512
GB,Standard,113,96.268
GB,Standard,114,96.588
GB,Standard,115,96.46000000000001
GB,Standard,116,96.508
GB,Standard,117,96.23400000000001
GB,Standard,118,96.648
GB,Standard,119,96.238
GB,Standard,120,95.988
GB,Standard,121,96.334
GB,Standard,122,95.71799999999999
GB,Standard,123,95.826
GB,Standard,124,96.58
GB,Standard,125,96.152
GB,Standard,126,96.194
GB,Standard,127,95.938
GB,Standard,128,95.602
GB,Standard,129,96.27799999999999
GB,Standard,130,96.21600000000001
GB,Standard,131,95.884
GB,Standard,132,95.866
GB,Standard,133,96.22200000000001
GB,Standard,134,96.314
GB,Standard,135,96.03200000000001
GB,Standard,136,96.014
GB,Standard,137,96.128
GB,Standard,138,96.01
GB,Standard,139,96.056
GB,Standard,140,96.288
GB,Standard,141,95.808
GB,Standard,142,95.84400000000001
GB,Standard,143,96.172
GB,Standard,144,95.736
GB,Standard,145,95.55
GB,Standard,146,96.036
GB,Standard,147,96.01
GB,Standard,148,95.83399999999999
GB,Standard,149,95.89
GB,Standard,150,95.812
GB,Standard,151,95.822
GB,Standard,152,96.248
GB,Standard,153,96.268
GB,Standard,154,96.002
GB,Standard,155,96.218
