CompanyId,PersianYear,Return,Beta,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital,r_dicho,b_dicho
364,1399,18.4916284,0.506199273,0.10200121890088631,-0.025693870140526855,-0.11457399224107166,0.19587634208296067,-0.14180056114362885,-0.0051613518797225125,-0.03570833264280334,0.05975895475629482,-0.008295634204084718,-0.016212506817467744,-0.025686807324793448,-0.02419883522347685,-0.05205192626608799,-0.020414799925606405,0.2745762660848284,-0.009459729187273062,-0.06441776655621803,-0.30826743194487727,0.009866738229916456,-0.1102612511666282,-0.036048881974786014,-0.004918890810755375,-0.1080493774096833,-0.07480253684842962,-0.3049436828181943,0.024947246796454017,-0.10808785638960616,-0.012995070399257154,0.052456783287957366,-0.020501452449045724,-0.03779905578141848,-0.038002884075261145,-0.03799813937388305,-0.019153814834951856,-0.23840208957056602,-0.20347079919445965,-0.0979530852729758,0.4390403747427021,-0.06061186995656036,-0.12013521759062779,0.48899981170535795,-0.05474606966432785,-0.10871385501253197,-0.127546869237071,0.005446854254628242,-1,1
368,1399,39.7193659,0.28058606,0.20200339300033288,-0.04064414345279698,-0.13856499662501584,0.32318348340079295,0.08864121916419648,-0.021513990724407215,-0.05891647356293634,0.09859846756965651,-0.008135379108997646,-0.024417269436832863,-0.041992400272469185,-0.042817403620194594,0.012162406417344427,-0.02959587410184505,0.44406941787137666,-0.015608561044908206,-0.09653625525477871,-0.026165224499287095,-0.13895439897024248,-0.10074814013580029,-0.007074748775618836,-0.008103469117920736,-0.14757922350731753,-0.12224401102741607,0.03681618515713534,0.04268945011163529,-0.20250158256267467,-0.020656016283594533,0.09343985356354546,0.06555878325358125,0.061836022683612366,-0.15517138946042563,-0.15516248484864906,0.21251961543557094,-0.07165961115690903,-0.0003442323356448525,-0.04954217791572778,0.3166770513454156,0.014057293767479646,-0.007858326611278837,-0.11827393505451692,0.3457685310784829,-0.367523621991136,-0.04202148587273292,0.007540271595672304,1,1
371,1399,441.0648835,0.617105257,0.07224011605473563,0.01840236748924088,-0.05191892199358359,0.15416382812592383,0.07026276796303539,-0.008812991107129235,-0.037411314714166734,0.04703308797819186,-0.00391854287306974,0.08063556482269153,0.013989046398094772,0.015642099245924055,-0.0008796130401415776,0.022395200663432865,0.2070179716875342,-0.0074455465000076385,-0.04933754864423361,0.12380971120558217,0.12947849463351224,0.09531268333703598,-0.008374247764718623,-0.0038654031774658848,0.05095985052907739,0.0006030873093544562,0.12129636568028676,-0.0003121613516059499,0.11784787560426913,0.06457516596353575,0.04631220658249778,0.05421441761478023,-0.10193491554250798,-0.09912764647521201,-0.09912310661771231,0.22423635299452851,0.16510389806952902,0.19016191106669375,0.06983227305567045,0.7942649383691579,0.11279400167632483,-0.037326919337479766,-0.049098727347230135,0.00026966702587590447,-0.15388811110569536,0.07163848930438618,0.003758613123890632,1,1
372,1399,37.85447839,0.355368219,0.33029908562228283,-0.03124466809388271,-0.008085906734941053,0.30917750467587857,0.3092522957410018,-0.02051130151699999,0.00035179071933451604,0.09432545205364645,-0.008209611319383582,-0.014394216472052222,-0.02851209895860393,-0.028615880454573608,0.06634950422161891,-0.0050024633806999815,0.38147087092447923,-0.014931725319701439,-0.08095360531995492,0.026700235718957285,0.07531794347481668,0.11122547105038355,0.029577963604210708,-0.007754976204693824,0.07693894172404965,0.007177835300425738,0.018413062587934164,-0.02873720019156086,0.14535849361795108,-0.024399436690460952,0.07465773386871885,-0.022750451754263993,0.0019901961877728863,-0.12258861562929624,-0.12258039785780732,0.11742102318102056,-0.2619338256761467,-0.22124454268428792,-0.09225432336041146,0.3945218519955864,-0.19997097304856734,0.11910386685758083,0.17835691124135994,-0.12444814391415815,-0.16944252477605362,-0.14227919295198155,0.007221322002879024,1,1
374,1399,73.67496977,0.29868726,0.21302332346161607,-0.016408386438219028,0.30872059843795474,0.13622698354256477,0.17334603187701117,-0.009859258888501444,0.10580569015137459,0.04156082383169445,-0.0018579082982152259,-0.010388823823864505,-0.01853129306094249,-0.012333851148981934,-0.02832889117875793,-0.009490082767694807,0.1841648275006353,-0.0065791472200840435,-0.04438582340244934,0.17519847365379604,-0.017205450662387874,-0.11733209723910598,-0.012369925414873603,-0.0034160718082461784,-0.08390313445382278,-0.052099473814182715,0.17169473275056835,0.05590109187581183,-0.1361657212528912,-0.013093878922901762,0.13129056709678494,-0.015605461337801923,-0.042965632275668734,0.4730774898704409,0.47307497640947455,-0.21526934487555371,-0.13877799855730372,-0.13495029264333627,-0.07286103705085203,0.22840044493526518,0.07331373778495613,-0.0743569679845777,-0.017513251636321666,-0.057980153665186926,-0.15419098633442,-0.08615188375266619,0.0030903316864793772,1,1
375,1399,127.2917277,0.469119721,0.15175504666827064,-0.011757067457106807,-0.006627138882547659,0.10587337115676755,0.048253576740297385,-0.008089737510945041,0.07780535369637306,0.03230038875329834,-0.007887586313032779,-0.001040564554641292,-0.013047981301998248,-0.011306681712883997,-0.033870188579656006,-0.012077033866672564,0.14251809604771656,-0.00511310838971981,-0.03272164793588248,-0.43334780934472816,-0.010449156327448417,-0.04406878475422121,-0.02506415836535174,-0.0026577412818201375,0.08542909323084312,-0.022659697135818568,-0.437381331368953,0.02295493816353319,-0.039599550410667296,-0.011366827349695604,0.6487543227317433,-0.005995634965128758,-0.04147633434484856,-0.040580589167171915,-0.04057779138126623,0.03630578448802702,-0.11512018705796966,-0.09221406554132378,-0.04959317330458385,0.22480305808274337,0.0032545060981681822,-0.07159267816012274,0.14438021079835467,-0.046594669748282275,-0.08580361879798061,-0.06075365967207751,0.0015845440301593095,1,1
377,1399,366.2210607,0.320141326,0.16073451580298895,-0.014759568154269573,-0.0037195201627095425,0.1186110862475816,0.10249458536966714,-0.007858663116286576,0.033735620951370594,0.03618647592296857,0.002228294915177662,0.005636278417450261,-0.015283954015319777,-0.014554168835185925,-0.027235835086150944,-0.01046405224548684,0.1337114116453167,-0.005728348602797082,-0.031092718167811187,0.5186381529279357,-0.003193222274448512,-0.05632951017505167,-0.03192616256659896,-0.0029764680232118525,-0.0073300015896679465,-0.0319894116614923,0.4996888783090222,0.0718933126485832,-0.007808209320446085,-0.012909268714679102,0.5413331236783495,0.011380927583343381,-0.03561324192045425,0.06731214927501183,0.06731397118674964,-0.10826126314473579,-0.1223655010889324,-0.09771114341307617,-0.049984454658214994,0.19565904454594754,0.03323533192260328,-0.06037523996610039,0.03141488307371495,-0.04552447526178121,-0.06869978769284141,-0.0649501207295041,0.0027904911423045796,1,1
383,1399,585.2972234,0.259500411,0.0863665491190959,-0.021297430922221625,-0.04305081653753017,0.15794392351698486,0.07915198697079522,-0.010711243661058715,-0.0359447893386723,0.04818633878452568,-0.002381812715552429,0.000991954922148728,-0.021308763605784983,-0.021948532189655857,0.0761062560801173,-0.01516435344449712,0.22395867782416226,-0.007627996350954564,-0.048959158262088034,0.06162107250490503,0.05940453631741364,0.0172928279661947,0.08489807541362983,-0.003962186543828333,-0.03910808011614091,-0.03981366732575897,0.05767984233097459,0.14756549477574635,-0.015203498821533087,-0.019240432624584143,0.8228455428364515,0.1395940638334657,0.09959050701286586,-0.0939105789549852,-0.09390601678405154,0.18531663038813076,-0.07562003225240693,-0.04910467531983151,-0.029401232728501755,0.26254323978681565,0.09015026702177532,0.01723663860790275,0.026833699175067394,-0.024771787859923997,-0.06544978652039318,-0.04015176645828622,0.0036861701239869512,1,1
