CompanyId,PersianYear,Return,Beta,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital,r_dicho,b_dicho
178,1398,322.4439669,1.310479124,0.0,1724625.0,2.9,187.0833336,0.67,124.24,2.14,20,0.1,38800000000000.0,1707809.0,2778328.0,1.3,2000768.0,83.4,1.38,870.0,1.44,1.16,14.01,0.53,49.03,36.57,675.0,1.44,22.75,23.07,2526500.0,7.45,2.3,10.2,1.5,2.5,39.98,16.48,12.65,10.13,39.69,85.39,3.39,1.94,14.98,6.51,14.06,124.24,1,-1
179,1398,390.9404235,1.118381423,0.0,767425.0,6.04,187.0833336,0.87,67.89,1.51,20,0.93,10000000000000.0,567484.0,983962.0,1.66,1101526.0,80.19,1.43,540.0,1.58,1.25,21.43,0.63,51.58,52.04,945.0,1.58,11.8,24.57,900000.0,7.0,2.65,13.4,1.32,2.32,43.17,25.5,21.43,16.16,61.85,90.57,4.15,1.38,15.83,8.74,22.42,73.94,1,-1
182,1398,531.9319062,1.293553319,0.0,500040.0,1.66,187.0833336,0.66,-30.14,0.89,20,2.04,9490000000000.0,543549.0,611113.0,3.15,-149105.0,88.56,1.19,1250.0,6.09,0.9,46.24,1.49,49.73,67.54,1553.0,6.07,17.46,52.21,350000.0,8.96,6.77,10.23,0.29,1.29,77.79,43.53,35.61,38.72,144.05,94.07,5.93,1.62,24.97,17.7,39.29,-143.42,1,-1
187,1398,155.6431386,0.857212645,0.0,109652.0,0.0,187.0833336,0.96,42.16,2.1,20,9.12,2240000000000.0,109859.0,130780.0,2.1,156085.0,85.04,1.88,216.0,0.14,1.69,42.16,0.74,36.26,68.13,2154.0,0.14,20.35,52.86,51000.0,13.13,4.55,4.7,0.82,1.82,54.97,26.63,22.33,22.37,30.86,98.76,4.74,1.67,10.39,3.21,25.05,72.85,1,1
192,1398,484.6808505,0.752059149,0.0,250088.0,2.62,187.0833336,0.81,152.65,3.4,20,1.8,5520000000000.0,216659.0,332652.0,1.27,192994.0,98.86,1.22,1080.0,1.65,1.08,24.49,0.83,77.02,72.79,1444.0,1.65,25.5,39.6,150000.0,16.06,5.12,16.96,2.73,3.73,26.83,31.26,23.66,19.01,56.88,92.78,8.18,1.2,13.81,0.73,24.77,172.76,1,1
193,1398,857.0023602,1.103667385,0.0,376158.0,0.89,187.0833336,0.38,615.57,2.84,20,1.01,21400000000000.0,305564.0,509326.0,1.19,122578.0,99.11,0.51,920.0,0.39,0.54,11.24,0.77,36.65,35.5,679.0,0.38,69.96,14.22,450000.0,22.54,15.54,2.45,2.92,3.92,25.52,35.46,28.72,22.21,33.1,55.71,5.84,1.96,32.7,59.62,27.23,-71.6,1,-1
200,1398,309.3444909,1.253559131,0.0,979639.0,4.5,187.0833336,0.82,89.73,2.25,20,-0.2,17300000000000.0,776094.0,1142608.0,1.59,921185.0,92.41,1.19,1872.0,0.03,0.5,28.99,0.67,81.79,57.83,2081.0,0.03,22.23,47.09,372886.0,12.37,5.43,8.98,1.21,2.21,45.31,35.94,30.81,24.41,48.72,93.26,5.71,1.28,11.73,14.7,31.41,89.73,1,-1
204,1398,1141.26365,1.29318481,0.0,552972.0,2.44,187.0833336,0.83,88.31,1.22,20,1.43,12900000000000.0,540747.0,644510.0,3.06,814562.0,94.77,1.26,350.0,2.79,1.55,43.5,1.89,61.86,75.14,1201.0,2.78,23.94,46.46,450000.0,13.07,8.28,41.47,0.56,1.56,64.11,41.27,35.41,34.63,55.37,71.19,5.52,1.29,28.81,33.11,40.33,88.31,1,-1
208,1398,462.8571426,0.786191213,0.6,43743.0,1.31,187.0833336,0.69,58.04,1.65,20,0.37,5830000000000.0,89449.0,102049.0,1.4,184388.0,98.24,0.89,372.0,0.43,0.41,10.71,0.76,60.21,25.43,357.0,0.43,65.32,17.53,250000.0,15.49,7.86,0.24,1.65,2.65,37.74,13.77,5.9,12.07,14.06,78.74,10.8,1.14,33.72,6.75,13.07,58.04,1,1
211,1398,454.5257955,1.159613934,0.68,370009.0,2.55,187.0833336,0.9,40.62,2.71,20,-0.06,8110000000000.0,250746.0,410475.0,1.46,667395.0,98.7,0.93,770.0,0.17,0.5,11.59,0.82,199.54,32.92,626.0,0.17,32.39,19.6,400000.0,10.25,4.02,4.42,1.97,2.97,33.66,20.34,18.34,12.43,25.35,93.44,4.77,0.95,19.82,-45.58,18.42,40.62,1,-1
212,1398,492.3566886,1.086752257,0.53,649733.0,1.16,187.0833336,0.61,148.6,1.47,20,0.31,10100000000000.0,622837.0,895120.0,1.47,548238.0,96.23,1.2,820.0,0.97,1.12,26.32,0.61,37.23,52.59,1176.0,0.97,16.24,36.59,529550.0,7.51,3.57,16.54,1.1,2.1,47.71,28.5,22.68,21.98,48.36,78.92,6.04,1.65,18.69,24.79,26.61,136.07,1,-1
213,1398,334.2926384,1.098459387,0.54,261418.0,1.34,187.0833336,0.6,-39.63,1.73,20,-4.51,4270000000000.0,196011.0,311231.0,1.11,59440.0,99.22,0.95,70.0,17.97,0.69,19.42,0.61,90.72,48.19,664.0,17.58,21.78,25.15,294981.0,8.02,4.43,3.52,1.23,2.23,44.93,32.35,27.17,20.37,69.12,88.21,5.18,1.57,30.66,14.91,28.19,-1009.71,1,-1
215,1398,869.2029987,1.323600374,0.57,770424.0,0.81,187.0833336,0.51,7.6,1.94,20,2.93,63200000000000.0,486968.0,1250289.0,0.89,-752197.0,98.17,0.47,200.0,-3.9,0.6,5.0,0.66,95.0,12.57,278.0,-3.88,129.92,6.41,1750000.0,15.35,12.86,3.63,1.63,2.63,38.09,25.44,15.67,9.91,49.95,81.21,4.71,1.11,35.6,12.8,22.88,-43.72,1,-1
218,1398,307.6158941,1.170761463,0.59,479641.0,0.49,187.0833336,0.47,0.0,3.13,20,0.26,7400000000000.0,372307.0,853238.0,1.29,304884.0,96.05,0.97,280.0,0.59,0.69,13.21,0.63,42.79,32.2,338.0,2.18,19.89,17.62,1100000.0,4.77,2.71,5.59,0.94,1.94,51.48,31.25,17.57,13.64,55.67,72.41,11.06,2.0,40.29,10.95,18.94,-336.73,1,-1
223,1398,269.655153,0.955122361,0.45,434060.0,0.92,187.0833336,0.68,102.95,1.1,20,0.29,5790000000000.0,368212.0,487963.0,1.76,509960.0,98.46,1.02,810.0,-0.06,0.47,23.77,0.94,89.96,44.34,736.0,1.03,15.74,30.57,500000.0,5.84,3.67,19.15,0.76,1.76,56.94,30.94,27.52,23.35,62.82,89.17,3.95,1.34,31.7,20.43,29.4,102.95,1,1
224,1398,289.8942784,1.07329179,0.53,415900.0,0.0,187.0833336,0.6,137.14,1.3,20,0.35,6950000000000.0,415324.0,661811.0,1.83,474495.0,95.2,0.99,1100.0,-0.02,0.48,24.71,0.66,19.68,41.73,830.0,0.64,16.74,28.76,500000.0,6.0,4.16,16.76,0.56,1.56,64.14,39.65,24.92,24.88,39.31,88.8,14.63,1.59,29.96,16.95,30.24,137.14,1,-1
226,1398,411.0244989,1.191178718,0.44,919906.0,1.12,187.0833336,0.71,100.63,0.88,20,0.15,11200000000000.0,916677.0,941134.0,3.81,1277060.0,99.0,1.01,1465.0,0.99,0.93,41.22,1.9,53.11,56.38,1309.0,0.99,12.2,43.76,700000.0,5.86,4.97,30.48,0.27,1.27,78.65,41.8,40.86,40.71,32.37,87.61,2.8,1.3,31.09,40.65,43.91,100.63,1,-1
228,1398,212.5013927,0.805056581,0.67,382149.0,3.47,187.0833336,0.7,221.61,2.32,20,0.34,7820000000000.0,402822.0,425690.0,1.44,278817.0,97.96,0.88,1440.0,-0.5,0.52,31.4,0.7,19.29,72.58,1611.0,1.35,19.43,46.82,250000.0,11.59,6.93,38.74,0.98,1.98,50.51,37.72,32.81,35.69,61.25,95.24,5.21,1.24,22.15,24.05,45.07,220.41,1,1
229,1398,529.6218491,1.160001965,0.57,651257.0,1.09,187.0833336,0.56,901.92,1.47,20,0.33,8420000000000.0,519637.0,1030007.0,1.55,462043.0,95.18,1.02,640.0,2.19,0.57,21.59,0.71,56.85,40.34,641.0,2.18,16.21,27.22,810000.0,5.74,3.43,4.25,0.62,1.62,61.58,41.98,26.95,21.18,94.92,91.72,15.66,1.88,33.01,23.4,28.24,206.43,1,-1
232,1398,335.7015701,1.061351992,0.75,436295.0,2.12,187.0833336,0.59,431.12,3.22,20,0.24,8090000000000.0,632914.0,714858.0,1.61,385401.0,95.78,1.01,3850.0,0.85,0.24,41.05,0.86,48.16,76.36,11507.0,0.85,3.51,50.97,200000.0,7.67,5.19,10.4,0.64,1.64,61.05,45.89,28.01,40.63,36.31,94.51,19.06,1.53,3.53,16.43,49.09,356.6,1,-1
233,1398,349.6784878,0.844322741,0.7,488144.0,1.45,187.0833336,0.76,188.31,2.91,20,0.38,6440000000000.0,485463.0,609066.0,1.63,417885.0,95.94,1.17,4300.0,1.13,0.51,36.18,0.93,17.88,80.35,3883.0,1.13,13.26,60.82,125000.0,8.48,4.12,38.29,0.92,1.92,51.97,38.95,31.22,31.05,38.96,94.48,7.73,1.45,7.99,28.44,37.31,188.31,1,1
235,1398,832.0901644,0.801363236,0.62,176679.0,1.51,187.0833336,0.49,-5.82,2.43,20,0.03,11500000000000.0,212101.0,529438.0,0.94,-48266.0,95.41,1.04,370.0,0.9,0.69,13.91,0.47,68.58,37.42,1060.0,0.89,54.45,23.56,200000.0,17.9,7.3,11.52,1.28,2.28,43.86,33.47,11.17,13.41,40.88,83.54,21.65,2.28,12.64,14.87,18.28,-211.94,1,1
239,1398,277.28991,0.989657786,0.55,831005.0,0.71,187.0833336,0.72,224.87,2.85,20,-0.03,11200000000000.0,790550.0,982853.0,1.73,853105.0,98.81,0.81,1820.0,2.52,0.83,28.3,1.23,62.52,76.46,2016.0,2.52,14.15,35.83,392000.0,9.14,4.91,25.08,1.29,2.29,43.61,43.18,36.51,34.73,66.6,74.14,4.46,1.12,17.22,26.91,45.19,168.62,1,1
241,1398,1129.732771,0.271017976,0.62,313196.0,1.36,187.0833336,0.6,103128.28,2.11,20,0.2,21000000000000.0,315556.0,394543.0,1.26,176968.0,87.81,0.86,1577.0,0.98,0.66,23.42,0.86,100.01,56.53,1354.0,0.98,66.61,42.38,233000.0,31.63,18.08,28.0,1.11,2.11,47.41,33.94,27.71,27.14,54.54,90.91,5.6,1.37,20.04,18.11,33.54,986.19,1,1
242,1398,459.5864661,1.090674981,0.24,544805.0,0.46,187.0833336,0.59,54.37,0.44,20,0.16,7910000000000.0,507136.0,586392.0,4.48,1014819.0,97.32,0.69,350.0,0.32,0.08,21.04,1.84,38.87,27.61,563.0,0.32,15.61,22.39,900000.0,4.02,4.79,29.84,0.37,1.37,73.12,35.49,32.97,30.69,39.29,78.67,5.66,1.04,54.47,19.06,40.72,54.37,1,-1
250,1398,314.0912187,0.965917844,0.0,1679164.0,0.83,187.0833336,0.34,112601.61,1.54,20,-0.02,22200000000000.0,1681705.0,1629113.0,1.32,334928.0,98.91,0.6,3500.0,0.38,0.59,47.86,0.61,54.67,85.4,3363.0,0.85,13.18,43.48,500000.0,8.88,10.6,46.72,0.94,1.94,51.63,77.87,80.27,80.39,88.97,43.59,4.39,2.55,23.9,89.63,93.23,112601.61,1,1
254,1398,482.8806143,0.37229378,0.83,730864.0,7.61,187.0833336,0.78,3973.56,4.9,20,0.01,7350000000000.0,653671.0,823783.0,1.26,386612.0,97.39,3.29,4170.0,-11.83,1.07,33.35,0.38,5.37,110.97,4539.0,-11.82,11.25,65.82,144000.0,8.03,1.14,13.32,1.67,2.67,37.51,12.78,11.34,10.14,67.83,98.91,1.51,3.4,2.23,6.61,12.73,2667.77,1,1
258,1398,160.7872824,0.958453794,0.46,662981.0,0.92,187.0833336,0.69,75.97,0.87,20,-0.19,15300000000000.0,621359.0,842653.0,2.06,920307.0,95.51,1.05,499.0,0.16,0.85,25.05,0.85,34.51,37.0,710.0,0.16,24.62,27.3,874491.0,8.46,5.89,14.79,0.49,1.49,67.3,32.46,25.24,23.93,43.92,99.02,9.21,1.45,33.68,23.27,30.82,75.97,1,1
259,1398,380.0784656,0.993165948,0.65,1128004.0,16.65,187.0833336,0.91,78.85,2.12,20,7.94,15500000000000.0,1063519.0,1142986.0,1.95,1754112.0,94.32,2.58,1000.0,0.27,1.88,27.31,0.67,19.39,58.1,1636.0,0.27,14.62,35.63,650000.0,7.54,1.54,8.17,0.98,1.98,50.4,11.33,11.18,10.54,37.21,90.71,1.56,2.81,6.44,-15.58,13.1,77.26,1,1
264,1398,211.3541331,0.913805347,0.61,2295271.0,3.98,187.0833336,0.94,61.72,1.57,20,0.02,26700000000000.0,1811482.0,2480882.0,1.79,3368101.0,95.75,1.68,1600.0,0.02,0.2,25.54,0.9,2.84,52.54,2111.0,0.02,14.72,30.87,858000.0,6.79,2.23,18.9,1.28,2.28,43.9,20.76,19.21,15.16,35.64,99.05,1.92,1.43,7.18,-19.55,19.72,61.72,1,1
268,1398,370.6040782,1.174222196,0.0,601780.0,1.7,187.0833336,0.68,60.9,1.13,20,0.6,8660000000000.0,335216.0,741441.0,1.48,545150.0,97.93,1.75,49.0,1.64,1.08,15.56,0.47,18.14,32.44,494.0,1.64,25.84,18.67,678347.0,7.27,2.3,14.37,1.09,2.09,47.95,19.66,15.96,8.89,60.96,87.97,1.35,2.24,17.99,4.39,16.23,88.59,1,-1
269,1398,229.6577946,1.063611026,0.0,3310563.0,9.18,187.0833336,0.91,118.25,3.5,20,0.59,26000000000000.0,2844109.0,3277108.0,1.64,3356061.0,95.17,1.39,2413.0,2.65,0.11,30.75,0.54,40.75,89.36,2528.0,2.64,9.14,46.76,1125000.0,6.11,1.95,9.98,1.87,2.87,34.9,24.57,24.82,21.32,33.87,97.31,1.53,1.2,8.43,11.16,26.22,118.25,1,-1
271,1398,135.8132751,1.337450761,0.0,4594633.0,1.5,187.0833336,0.83,39.97,0.56,20,0.14,41900000000000.0,4712717.0,3525092.0,4.66,8895757.0,98.47,0.58,1000.0,0.44,0.0,37.95,2.33,232.2,48.67,2356.0,0.44,8.9,38.64,2000000.0,3.82,5.83,0.64,0.25,1.25,80.07,49.06,63.94,65.58,35.8,88.8,6.08,0.63,27.83,14.03,69.86,63.11,1,-1
273,1398,560.2209946,1.321546096,0.0,336871.0,7.5,187.0833336,0.92,55.43,2.16,20,0.05,13600000000000.0,284542.0,321103.0,1.64,619738.0,98.32,1.5,440.0,-0.02,0.17,16.59,0.14,2.81,42.87,883.0,-0.02,47.67,35.87,322000.0,17.86,4.84,2.04,2.16,3.16,31.62,11.47,12.03,10.16,81.11,96.61,2.45,1.31,11.5,7.73,12.58,55.43,1,-1
274,1398,240.0187266,0.978674087,0.0,323115.0,0.0,187.0833336,0.93,35.91,1.23,20,0.21,12300000000000.0,297186.0,310617.0,2.62,915701.0,98.93,0.76,227.0,-0.89,0.0,19.17,0.68,43.07,32.45,450.0,-0.39,41.55,28.22,660000.0,12.28,10.43,8.13,0.89,1.89,52.81,26.25,27.31,25.12,-6.0,94.59,3.84,0.67,55.79,15.05,29.34,35.91,1,1
