,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
count,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0
mean,-0.006423096499732295,-0.019376608977886463,-0.012748845480470701,-0.021711316031761754,-0.0005576129990436459,-0.010909684830112865,-0.012036479021557314,0.001937536693988573,-0.007088987599386533,-0.019574745091397252,-0.020355830089048513,-0.019816538166624327,-0.02180677310971917,-0.017687772824003172,-0.026183587868082208,-0.0085945128821322,-0.015727374599108338,-0.013587714833592841,-0.010741414580172198,-0.02377073455575868,-0.021477505980010157,-0.006523257678659441,-0.019265114437761424,-0.019557533196993555,-0.014837714155516477,-0.013583742403605346,-0.018492009490251527,-0.016110635648018325,-0.026121847829783818,-0.013399686459943497,-0.01950265968884497,-0.012728204659513612,-0.012729641482596489,-0.010045938509118639,-0.009912358864261728,-0.007532462335630189,-0.01865034567755526,-0.02118731817540822,0.008413786569466215,-0.011474448675251034,-0.01385588146403918,-0.009203075566641546,-0.0038237106138324555,-0.01652871692492472,0.006101366798627275
std,0.24529115118299125,0.06512492472669779,0.16684746636880313,0.2263902858080908,0.23211482582121237,0.0629784668818494,0.07539147013483294,0.24203056205069803,0.019224250714421496,0.06021090518326217,0.06496802568158935,0.06687809270095399,0.09889320680302321,0.05055564161333319,0.22007703593286002,0.06750468906297143,0.10601314523036237,0.09618138490167746,0.12034332750962903,0.17966531442994052,0.07766454484128904,0.03043958827661913,0.15321911965253332,0.12021754708212462,0.10141460231188064,0.1005532617030075,0.19898051563246824,0.07522874724672825,0.17070285063436574,0.043646689452151666,0.19461994897632295,0.1636297668604854,0.16363290040759434,0.20525102152489036,0.21167893713823513,0.20929191862877575,0.1094479268559033,0.177784934477251,0.2189495353662108,0.16621174986716808,0.1700846151993458,0.12331779064939771,0.19226497424739744,0.11915215881154999,0.03182063794695491
min,-0.45706187382809943,-0.08281447867889666,-0.2558784995893819,-0.48322844595660397,-0.7120027318567663,-0.04246755715073337,-0.13662688585656582,-0.621206050110566,-0.01914449582054488,-0.08497633720526306,-0.08493178735627985,-0.08680032290660916,-0.17471459582303173,-0.2728180463119522,-0.32231436211973774,-0.03132102315930716,-0.18650559268759181,-0.6874964904576182,-0.5484507319877095,-0.31746004342760714,-0.17001527713515108,-0.01620717850298182,-0.3079718141514565,-0.17256101056735687,-0.6767223950660668,-0.9226443470237721,-0.38288751662447956,-0.08291039871431119,-0.2608389044240827,-0.07377326922490872,-0.349974832857136,-0.2721684795554985,-0.2721535101816491,-0.4450663089638322,-0.48842634202492285,-0.5594833032208192,-0.2002277572104016,-0.4760042987093595,-0.7907964629772413,-0.4005392626629647,-0.32248465122162145,-0.19528702487988497,-0.6859206746351274,-0.24054305978617896,-0.9880249949801377
25%,-0.22540368077007142,-0.04601409305022024,-0.12506701174497603,-0.19888996774043605,-0.15736357499103779,-0.023543713674831986,-0.05402221979932678,0.032393723815946865,-0.00972366884012153,-0.046371476947662645,-0.04662318268090179,-0.047559164449446314,-0.0778507715296031,-0.037468729750399346,-0.17493016796528948,-0.01730769422123374,-0.08526028925445771,-0.04816776517101226,-0.08199166276518668,-0.16675107229042618,-0.06545666058903711,-0.008947235938992413,-0.1445409465307723,-0.10371248820298086,-0.051283916823456066,-0.04075053594219399,-0.18193668997772994,-0.04164871095089365,-0.12891277826911657,-0.037610404665458196,-0.15652915960866937,-0.12080604238984206,-0.12085232731762424,-0.17838031144629218,-0.1777311317831974,-0.1748209024495713,-0.10280689799368324,-0.13041331809546897,-0.07716751582562076,-0.1259027315652509,-0.12735889568314407,-0.09271746107053738,-0.12237211584973107,-0.1091376284792613,0.0056269200405611695
50%,-0.10610883359340328,-0.03562483505330544,-0.04927812416939571,-0.08485361019186306,0.03568026417262206,-0.019036715337777652,-0.02834496688536126,0.08659393126288736,-0.008160341733525877,-0.03548381495998869,-0.0366981374447979,-0.036853881614549666,-0.04360464694309679,-0.028418601683418355,-0.13716825112064607,-0.014853476382618556,-0.046223797436774614,-0.027174436441630517,-0.006973575449794189,-0.06365022519187737,-0.035473746108963075,-0.007719125027333525,-0.02616798001802814,-0.052431010772074925,-0.02874354668603338,-0.028274263427920734,-0.04857756627343754,-0.03197765199848349,-0.07146587204467819,-0.02298916041832669,-0.07868363671071098,-0.06500502968134417,-0.06499355868456852,-0.007305903967902821,-0.03386394316419885,-0.04065142687224581,-0.04215631524051397,-0.031825802327935374,0.07813262216632733,-0.0411495950602272,-0.04183267692247056,-0.04384710740299416,-0.022975400983951032,-0.03500980287943005,0.007073658735242321
75%,0.22307689098716443,-0.020648433002148185,0.046337707807511536,0.1535205566032568,0.17832922670479223,-0.01216288197782274,0.008710606775094252,0.1168883195664134,-0.006270230708633887,-0.014267900222735896,-0.022629721156308277,-0.020853381218028967,0.004897003837499766,-0.016306573951525384,0.1664354948272083,-0.011708046487724933,0.01377382891122785,0.0002913484465655023,0.04754804657511269,0.10823243429682622,-0.0015624975667838355,-0.0060892201108111565,0.09138549971695772,0.02459191297867619,-0.0012886351415461966,-0.011392849945819426,0.13813061585244396,-0.02015269778391163,0.009606510913554196,-0.002741085960042766,0.05314657891655073,0.04807745913330173,0.04808485193913001,0.13712820705879178,0.15498232544937654,0.14677907081144712,0.058631811205511086,0.07627029695014184,0.15694178124900793,0.06609939982899413,0.055392588046828,0.03742694520426602,0.1147965033589152,0.07118104374261444,0.008514854092035036
max,0.5888708909319151,0.4535468991658092,0.9295631408598753,0.5854690701085313,0.4627231125490176,0.9624782535996358,0.8980510535069524,0.4709044478416614,0.583289287426406,0.5649483030323635,0.43855015788493373,0.4439003813102179,0.6332450015419265,0.4418819069276428,0.570598369179517,0.990023827213081,0.7031967454034215,0.761549007549709,0.7358104435569487,0.49252004936111865,0.7136990581340898,0.9529311936146726,0.9357166253759328,0.6318300096676219,0.8000882458717156,0.9350000782517714,0.5226524607388364,0.6586967228926155,0.853504475381642,0.6764895017917694,0.785314082293977,0.6760232867270819,0.6760172505700307,0.5457941600566303,0.5388034369400491,0.530536135289175,0.5418825578820013,0.8785217464360977,0.3710324579709472,0.6175732103891587,0.9067819937159285,0.6217906610312517,0.6218216456030551,0.5186125271314082,0.1006904743195673
