,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
count,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0
mean,0.2702894211576847,2732853.989021956,3.370708582834331,67.97242328475949,0.7095508982035929,569.6179141716566,2.910199600798403,19.115768463073852,8.83587824351297,21825312279383.234,2610151.1896207584,3069703.606786427,1.8857984031936128,2414461.755489022,25.802954091816364,67736.32839321357,1099.319361277445,0.9522554890219559,0.9387624750499002,20.68127744510978,1.1240019960079841,56722.168812375254,44.95002994011976,1546.0169660678644,1.1870159680638723,24.376906187624755,25.80441117764471,2211399.3193612774,4.87435129740519,3.2925149700598806,11.177994011976049,1.710758483033932,2.7107085828343314,46.290978043912176,30.86967065868263,24.44234530938124,23.27201596806387,34.54244510978044,88.97625748502995,6.838522954091817,1.5895309381237526,28.604590818363278,16.71723552894212,30.738882235528948,-1555.3145808383235
std,0.30403286021049847,15173784.701719098,4.5683563911749925,68.96291704884338,0.17472140777208087,6099.228442012325,6.828260906926945,2.2976709004373794,258.42781857235315,123032347717174.8,14551748.160316091,16260400.615217611,2.195062302706846,16746960.932671431,41.158187815204606,1111848.2486732719,2601.771312364434,6.680586042610491,1.435901685985933,17.295990681981735,1.9556484068729492,1790328.8828142034,38.2282724888481,2833.6521649841675,6.562322081903468,124.07289152026314,18.237297115979064,13043051.171746928,6.321977951805922,16.83390534881857,12.56262787989501,1.8009802036277454,1.801001163718245,18.49228748816576,15.944846009825254,16.63131913626549,33.05633837286162,46.922925469059436,11.186042799491553,5.168375635271182,1.168743734795312,43.240194868085474,19.336145492830138,33.831876883416456,54799.76164359175
min,0.0,-44902.0,0.0,-20.86124983,0.16,-200.56,0.13,15.0,-33.34,42602000000.0,-47489.0,4211.0,0.3,-19326697.0,0.0,0.04,0.0,-53.29,-4.11,-1.88,0.1,0.0,-8.19,-365.0,-51.26,-1219.0,-2.53,12500.0,0.3,0.1,0.08,0.03,1.03,4.73,0.16,-18.36,-5.24,-90.92,28.24,0.29,0.04,0.99,-96.35,0.85,-1730685.71
25%,0.0,97679.75,0.88,11.2071741,0.59,25.76,1.25,20.0,-0.23,723250000000.0,67763.5,151862.5,1.17,71563.25,0.0,0.69,150.0,-0.33,0.305,8.0275,0.6,15.372499999999999,21.755,341.25,-0.13,5.2125,11.745000000000001,136000.0,1.73,0.79,3.0324999999999998,0.7124999999999999,1.7125,32.5475,18.564999999999998,11.125,7.619999999999999,8.7025,84.785,3.9825,0.95,10.2325,6.2225,14.005,18.7675
50%,0.0,280180.5,2.19,46.84392564,0.74,75.195,2.005,20.0,0.06,1890000000000.0,220554.5,375096.0,1.45,265586.5,0.0,0.92,500.0,0.16,0.89,15.625,0.825,79.125,40.545,818.5,0.33,7.93,21.875,300000.0,2.8,1.54,6.43,1.19,2.19,45.735,28.425,21.435000000000002,17.39,27.805,93.055,5.88,1.35,19.810000000000002,14.655,25.525,71.47999999999999
75%,0.58,863961.5,4.24,107.7122458,0.85,138.625,3.1875,20.0,0.4775,10275000000000.0,731304.25,1079801.25,1.9375,908648.25,76.27000000000001,1.32,1250.0,0.9675,1.23,28.4,1.11,214.16500000000002,61.2825,1893.75,1.13,16.24,36.8975,750000.0,5.205,2.9975,14.2075,2.08,3.08,58.41,41.942499999999995,35.74,31.427500000000002,53.307500000000005,96.64750000000001,8.43,1.8975,35.974999999999994,26.3425,41.114999999999995,124.5025
max,0.93,354865204.0,52.09,187.0833336,0.99,113722.91,197.18,22.0,8178.98,2960000000000000.0,328461487.0,375183972.0,45.97,426941952.0,99.97,31852762.5,64000.0,98.0,35.2,116.5,45.39,56671920.0,776.58,63100.0,81.78,2118.28,90.37,293000000.0,53.74,516.05,79.05,20.13,21.13,96.86,85.13,86.26,776.51,659.47,100.0,103.48,14.6,1081.73,175.07,791.43,112601.61
