,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
count,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0
mean,-1.489161422251707e-16,0.0,9.92774281501138e-17,-8.509493841438326e-17,-2.2691983577168866e-16,1.7728112169663178e-17,3.0137790688427404e-17,1.1345991788584433e-16,1.418248973573054e-17,-7.09124486786527e-18,1.418248973573054e-17,0.0,-1.418248973573054e-17,7.09124486786527e-18,2.8364979471461085e-16,7.09124486786527e-18,2.481935703752845e-17,3.9001846773258994e-17,1.418248973573054e-17,-4.254746920719163e-17,-4.96387140750569e-17,0.0,-4.96387140750569e-17,-2.836497947146108e-17,-1.418248973573054e-17,-2.1273734603595815e-17,5.672995894292217e-17,0.0,-1.1345991788584433e-16,-2.1273734603595815e-17,-2.836497947146108e-17,1.0636867301797907e-16,-7.09124486786527e-18,-1.418248973573054e-17,3.4037975365753304e-16,-5.672995894292217e-17,9.92774281501138e-17,2.836497947146108e-17,-6.736682624472007e-16,-1.985548563002276e-16,-7.800369354651799e-17,-9.92774281501138e-17,-1.7373549926269915e-16,-1.6309863196090124e-16,3.545622433932635e-18
std,1.0004993758114002,1.0004993758114,1.0004993758114,1.0004993758114002,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114002,1.0004993758114002,1.0004993758114,1.0004993758114002,1.0004993758114002,1.0004993758114,1.0004993758114002,1.0004993758114,1.0004993758114,1.0004993758113998,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114002,1.0004993758114,1.0004993758114,1.0004993758113998,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114,1.0004993758114002,1.0004993758114002
min,-0.8894577940340352,-0.18315424844916806,-0.7382068175947388,-1.2887800908914921,-3.1468687073911426,-0.1263377047963522,-0.4073640423446792,-1.7921730120296055,-0.16328327225003558,-0.17713705738674773,-0.18272494284213217,-0.18861918056151386,-0.722799672064623,-1.2988634685262561,-0.6272345998046014,-0.06095266538222171,-0.42273828201139396,-8.123440430708499,-3.5178478820707575,-1.3050737836517983,-0.5238740022158668,-0.03169836281825754,-1.3907656120531895,-0.6747374661373008,-7.996134003224365,-10.026346636209917,-1.554427748637093,-0.16867198997567162,-0.723924640782496,-0.18974261578806065,-0.883854571503354,-0.9337125470773598,-0.9336739597519097,-2.248598645119263,-1.9269553501145642,-2.574884133629575,-0.8629586815517315,-2.675133674324665,-5.432357875982292,-1.26766968781125,-1.3264710562617732,-0.6389513498111338,-5.850374812982945,-0.8838944443843509,-31.569368723991424
25%,-0.8894577940340352,-0.1737529715310281,-0.5454811685156001,-0.8235381971575544,-0.6845789566119771,-0.0892128420556924,-0.24325793741069607,0.3850303803729948,-0.03509840996965812,-0.1716020260573227,-0.17480080527183225,-0.1795342116801589,-0.32625764413104696,-0.13996978327919876,-0.6272345998046014,-0.060952080478126155,-0.36505646130005515,-0.19203342464486944,-0.44158939772031497,-0.7319671170196388,-0.2680766481783938,-0.03168977211919532,-0.6070536664660001,-0.4253763438025313,-0.20079381010804428,-0.15453799934519358,-0.7713002654973853,-0.1591986181943541,-0.4976166532638732,-0.14873344085181714,-0.6487147237482006,-0.5545630025038979,-0.5545288277290485,-0.743571676203467,-0.7720874385359924,-0.8011388369336929,-0.4737316041964973,-0.5509641330948836,-0.3748734537139375,-0.5528718081889119,-0.5474684358560037,-0.42509672891621425,-0.5430232385200926,-0.49486579740288705,0.028738594696767567
50%,-0.8894577940340352,-0.16171959356703036,-0.2585827590909732,-0.3065277631809375,0.17435932854354602,-0.08110367101652433,-0.13263283988823427,0.3850303803729948,-0.03397567937282002,-0.16211401198307776,-0.1642957237898367,-0.16579869662764707,-0.19863492249725231,-0.1283784180578712,-0.6272345998046014,-0.06095187351206158,-0.23046554630693122,-0.11864993837275505,-0.03397643886527342,-0.2924841092237435,-0.15296783886153087,-0.03165414495757786,-0.11528717932012283,-0.2568700137009119,-0.13066166677079596,-0.13262461423380165,-0.21556776782976786,-0.14661859412847494,-0.32828130595972904,-0.10415825070372636,-0.3781346618521349,-0.28929720391953445,-0.2892661163137868,-0.030080415213907676,-0.15339699527792552,-0.18091451918112234,-0.17802798477498583,-0.14365706228917308,0.36480991656034467,-0.18555184161250393,-0.20504970161170927,-0.20349081800238233,-0.10670510108892922,-0.15418848738947294,0.029700986170118536
75%,1.0191833889250896,-0.12322738232296394,0.19038040069565673,0.5765369175609836,0.8042474043242628,-0.07069880161196417,0.04063097179429704,0.3850303803729948,-0.03235933446185483,-0.09392716988961836,-0.12917933774184392,-0.12243831582029013,0.023565351775872254,-0.08996052945887056,1.2267850119370471,-0.060951513571079696,0.05794355724976288,0.002283051759351826,0.20292681927269945,0.44649521615862714,-0.0071633470601711454,-0.03157867980868455,0.4274487188803894,0.12277677821478486,-0.008692721836451034,-0.0656144099005296,0.6085676167913361,-0.11210023541112364,0.052327582139772746,-0.017533797849269974,0.24127267630729138,0.20512491281362485,0.20515024632408344,0.6556827493770052,0.6947924638235872,0.6796392020070952,0.24683788601615717,0.40011200318511736,0.6861294459086351,0.3080797340237754,0.26363594088516845,0.170537848134093,0.4980346832249425,0.30684964308874985,0.030669037427329862
max,2.170949620021114,23.218215054090663,10.669837569373824,1.7280358274044976,1.6059231371360843,18.56133102394913,28.465053794477978,1.255911737334035,31.630588917492922,23.89324430227849,22.4037726941059,22.896120585706953,20.093377817276092,25.362183067842153,1.8028996677424365,28.60183382290566,24.188171888159836,14.534085361349025,23.87234940441076,5.5427048886585775,22.646250326498446,31.638583634144773,19.148009593772784,21.733338468696175,12.287301539357198,16.884822403181452,3.542072649519043,22.30565606491315,7.7333472843889695,30.47501652675518,5.405389722222122,10.232449864536685,10.23235849982246,2.735966274309597,3.4047005285505403,3.7187985165424844,22.797870845855286,13.324821978699658,0.9859829524194607,18.707954739603526,11.13757087023054,24.36740439657516,8.193558642287302,22.495677408949412,2.0842049009356214
