CompanyId,PersianYear,Return,Beta,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
224,1395,48.21428568,1.592687834,0.61,144886.0,0.53,-3.726529991,0.57,-3.0,2.1,15,-0.64,1030000000000.0,102326.0,212608.0,0.97,-25274.0,0.0,0.63,310.0,-0.19,0.54,7.43,0.35,32.18,18.36,341.0,-0.19,10.02,12.01,300000.0,1.94,1.18,13.11,1.6,2.6,38.4,24.55,16.73,11.81,-2.19,94.98,6.99,1.33,34.64,17.8,19.42,-91.85
226,1395,37.84295175,0.791550321,0.67,195492.0,0.63,-3.726529991,0.43,-8.69,2.19,15,-0.32,1620000000000.0,158199.0,266637.0,0.74,-307721.0,0.0,0.6,600.0,0.17,0.33,9.47,0.22,35.86,22.53,395.0,0.16,10.23,18.48,400000.0,1.95,1.33,2.19,1.46,2.46,40.7,21.92,16.07,13.0,10.07,97.26,3.5,1.51,32.88,34.93,17.33,-46.34
228,1395,54.4858871,0.20798143,0.79,81652.0,5.13,-3.726529991,0.62,-35.16,4.49,15,-0.5,1010000000000.0,99959.0,130209.0,0.79,-120319.0,0.0,0.72,1900.0,-0.07,0.59,11.36,0.43,49.09,54.78,1878.0,-0.07,10.11,19.33,53222.0,5.12,1.59,34.83,4.4,5.4,18.53,20.44,12.82,15.69,20.02,96.71,7.62,1.05,8.36,17.11,23.73,-73.7
229,1395,37.46556472,0.635795623,0.68,176538.0,0.46,-3.726529991,0.42,-0.13,2.46,15,-0.35,954000000000.0,44750.0,241352.0,0.62,-571304.0,0.0,0.43,200.0,3.5,0.28,2.25,0.25,260.63,6.3,99.0,3.51,21.41,2.97,450000.0,1.06,0.96,2.22,2.46,3.46,28.92,24.38,17.83,4.52,-4.01,96.12,6.55,1.03,45.46,22.1,22.56,-8.11
230,1395,-26.70068027,1.596624133,0.77,-93121.0,0.51,-3.726529991,0.41,27.35,4.28,15,2.45,553000000000.0,-142218.0,31874.0,0.56,-507045.0,0.0,0.45,,-0.15,0.46,-4.94,0.35,129.7,-17.45,-221.0,-0.15,-3.9,-9.43,,1.37,0.78,11.54,4.28,5.28,18.94,4.51,-13.18,-20.13,6.88,95.52,11.26,1.07,90.81,-1.7,-9.54,27.52
232,1395,45.61664186,0.554063585,0.73,141110.0,1.35,-3.726529991,0.58,-30.53,3.06,15,-0.48,888000000000.0,134188.0,310144.0,0.83,-102041.0,0.0,0.93,1850.0,0.03,0.57,14.51,0.35,44.06,40.02,2439.0,0.03,6.62,27.58,55000.0,2.67,1.03,30.88,1.88,2.88,34.71,35.9,16.34,15.53,19.31,96.82,16.39,1.72,6.37,26.16,20.22,-220.68
233,1395,19.5783132,0.219635877,0.72,162266.0,1.48,-3.726529991,0.74,132.03,3.21,15,-0.51,1070000000000.0,165235.0,281884.0,1.16,92080.0,0.0,0.95,1200.0,-0.39,0.86,15.71,0.59,55.56,37.64,1321.0,-0.39,6.5,35.85,125000.0,2.75,1.07,29.51,1.6,2.6,38.5,28.25,16.26,16.56,-1.17,92.64,11.94,1.49,12.53,21.02,21.83,132.03
235,1395,-11.74064226,0.104130726,0.7,102198.0,1.09,-3.726529991,0.54,-5.74,2.51,15,-0.48,2440000000000.0,75498.0,186087.0,0.83,-120357.0,0.0,0.77,339.0,0.32,0.69,5.72,0.51,75.44,18.3,377.0,0.32,32.36,9.59,200000.0,5.61,2.39,7.95,2.39,3.39,29.53,18.24,10.02,7.4,31.76,95.07,8.58,1.29,19.61,17.88,12.87,-51.1
239,1395,109.4149908,0.142551706,0.57,138852.0,0.36,-3.726529991,0.48,-6.65,3.98,15,1.01,2340000000000.0,181542.0,238927.0,1.07,82199.0,0.0,0.42,170.0,1.09,0.68,7.17,0.67,316.35,31.12,463.0,1.08,12.87,13.75,392000.0,3.91,2.19,20.4,3.73,4.73,21.13,22.36,13.0,16.99,3.48,72.57,6.7,0.92,36.69,30.79,25.55,-115.98
241,1395,-11.18401864,0.00014868,0.6,64229.0,0.92,-3.726529991,0.44,-42.8,1.79,15,-0.19,1710000000000.0,92049.0,124515.0,0.75,-137630.0,0.0,0.64,430.0,-0.22,0.58,10.01,0.45,146.4,22.13,395.0,-0.22,18.56,16.03,233000.0,4.27,2.91,6.7,1.53,2.53,39.58,21.18,10.93,15.66,-10.09,94.46,7.54,1.47,39.64,9.28,20.34,-87.99
242,1395,17.31669268,1.029810654,0.25,59867.0,0.53,-3.726529991,0.47,25.5,0.42,15,-0.41,1250000000000.0,99740.0,116761.0,2.24,424996.0,0.0,0.45,60.0,-0.43,1.15,5.58,0.75,128.15,7.64,110.0,-0.43,12.6,6.62,900000.0,0.94,1.56,2.74,0.33,1.33,75.37,14.61,7.49,12.48,-0.49,79.39,7.12,1.04,112.58,21.12,16.13,25.47
250,1395,16.13756612,0.455537109,0.0,331194.0,1.72,-3.726529991,0.57,614.61,1.76,15,0.11,2070000000000.0,295392.0,375227.0,1.17,61716.0,0.0,0.75,1400.0,0.04,0.99,38.97,0.8,165.06,60.83,1687.0,0.04,7.01,54.29,175000.0,4.15,3.63,14.85,0.66,1.66,60.11,65.83,58.11,51.83,12.51,97.97,7.73,1.5,30.7,37.3,65.21,538.66
254,1395,34.19972635,-0.015696987,0.76,120556.0,5.92,-3.726529991,0.56,-4.88,3.39,15,0.34,706000000000.0,50537.0,162738.0,0.76,-191845.0,85.54,1.95,40.0,1.29,0.61,5.16,0.31,7.2,21.21,350.0,1.29,14.0,8.87,144000.0,2.56,0.37,10.03,3.39,4.39,22.76,8.52,6.31,2.65,23.74,98.68,2.53,3.9,7.54,6.01,6.95,-21.08
255,1395,266.8965519,1.537962333,0.71,234223.0,0.56,-3.726529991,0.6,77.54,3.73,15,-1.18,3560000000000.0,-13792.0,398542.0,1.0,4113.0,64.06,0.57,,0.5,0.8,-0.74,0.73,158.69,-2.85,-27.0,0.51,-263.96,-0.92,,6.9,3.37,3.86,2.98,3.98,25.1,37.71,22.16,-1.31,19.92,78.71,9.7,0.93,47.31,23.36,20.61,195.63
258,1395,2.83911673,0.104908232,0.45,167137.0,0.98,-3.726529991,0.56,24.21,0.81,15,-0.7,1590000000000.0,68159.0,242449.0,1.48,302920.0,69.42,0.64,74.0,-0.48,1.08,3.99,0.78,86.47,6.28,77.0,-0.47,23.55,5.0,874491.0,1.44,1.44,9.06,0.52,1.52,65.89,22.02,15.18,6.19,7.73,100.0,6.84,1.41,79.43,43.03,15.19,24.21
259,1395,-1.711026632,0.020758553,0.59,266288.0,7.02,-3.726529991,0.82,26.85,1.71,15,1.99,1880000000000.0,162102.0,281341.0,1.82,660984.0,52.29,1.84,125.0,2.15,1.65,8.59,0.87,30.75,17.81,249.0,2.16,11.59,12.82,650000.0,1.97,0.54,16.11,0.95,1.95,51.24,8.09,7.65,4.66,5.97,88.59,2.1,2.38,18.6,19.62,8.5,26.6
264,1395,33.5164835,0.015122378,0.5,283222.0,3.31,-3.726529991,0.77,35.06,1.0,15,0.93,4550000000000.0,208891.0,293910.0,1.87,681340.0,77.05,1.6,250.0,1.24,1.66,11.38,1.05,39.19,19.97,486.0,1.24,21.84,15.25,429000.0,4.08,1.56,13.71,0.71,1.71,58.58,10.04,9.67,7.13,-3.62,99.28,2.8,2.0,14.65,-0.62,10.85,35.02
268,1395,11.50442491,1.902795754,0.0,98567.0,1.22,-3.726529991,0.38,52.45,0.73,15,-0.53,746000000000.0,48796.0,182921.0,1.32,109022.0,0.0,1.08,29.0,-0.2,1.1,4.09,0.69,89.65,6.89,71.0,-0.2,15.49,4.64,678347.0,1.02,0.58,1.55,0.68,1.68,59.36,14.17,7.64,3.78,68.92,73.48,3.68,2.93,52.55,7.19,7.72,50.85
269,1395,80.96590911,1.864296392,0.0,616285.0,8.87,-3.726529991,0.86,73.11,2.51,15,2.95,2630000000000.0,553520.0,690078.0,1.31,999749.0,0.0,1.26,330.0,1.59,0.97,12.68,0.53,77.65,42.03,615.0,4.17,4.74,17.06,900000.0,1.7,0.48,7.84,2.21,3.21,31.2,12.51,11.18,10.04,30.69,95.39,2.23,1.3,16.32,-1.28,15.17,73.11
271,1395,82.44111342,2.223400926,0.0,1015119.0,3.29,-3.726529991,0.59,63.73,0.57,15,0.54,7340000000000.0,996544.0,1072428.0,2.35,1980796.0,0.0,0.54,250.0,7.74,1.54,18.01,1.32,290.69,25.83,498.0,7.62,7.37,21.16,2000000.0,1.69,2.44,4.04,0.37,1.37,72.84,35.88,33.96,33.34,19.7,90.42,5.33,0.87,66.46,14.14,35.05,64.26
273,1395,102.5641026,2.068519723,0.0,11014.0,1.45,-3.726529991,0.85,8.81,1.79,15,-1.15,922000000000.0,-4635.0,63813.0,1.85,165267.0,0.0,1.25,,-0.95,1.09,2.23,0.66,91.46,5.34,-14.0,-0.95,-204.57,4.3,,3.76,1.53,2.4,1.57,2.57,38.89,10.57,1.82,-0.77,166.87,92.9,6.82,1.56,53.34,1.94,2.14,-3.81
274,1395,273.0878186,1.108021361,0.0,148142.0,2.53,-3.726529991,0.79,94.26,1.75,15,1.03,1110000000000.0,130552.0,178081.0,2.1,212051.0,0.0,1.52,700.0,-5.55,1.93,29.16,1.35,45.95,56.43,1087.0,-5.55,8.53,40.67,120000.0,3.75,1.64,17.06,0.73,1.73,57.66,26.18,21.78,19.19,60.82,88.82,4.43,1.68,17.64,17.91,23.23,94.26
275,1395,89.70037452,1.331927892,0.0,1293.0,1.66,-3.726529991,0.66,23.58,1.65,15,7.85,203000000000.0,1512.0,5504.0,1.2,9511.0,0.0,0.79,,5.0,1.07,1.76,0.8,59.72,3.67,30.0,4.14,136.8,3.23,,4.72,2.98,1.83,1.3,2.3,43.49,8.06,1.89,2.21,-23.95,90.9,6.17,1.16,72.56,-4.37,2.21,23.58
278,1395,40.03906242,0.710263401,0.0,-539.0,2.45,-3.726529991,0.94,1.36,0.99,15,-0.91,352000000000.0,726.0,31094.0,3.1,122804.0,0.0,0.46,,1.0,1.24,0.77,1.87,975.01,1.21,4.0,1.05,550.25,1.12,160000.0,2.59,3.82,6.8,0.99,1.99,50.37,33.73,-0.58,0.79,123.67,97.02,32.24,0.47,173.55,-24.36,0.79,0.67
289,1395,34.31876602,0.133345999,,274179.0,,-3.726529991,,,,15,,2070000000000.0,228246.0,367325.0,,,,,250.0,0.24,,,,,,456.0,0.24,9.09,,500000.0,1.75,1.75,4.64,0.25,1.25,80.27,31.02,23.15,19.27,20.05,95.64,8.21,1.24,42.22,12.46,25.08,35.01
